facility_name,facility_id
Northwick Park,2253
Brett Vale Golf Club,2450
The Heron Golf Club - Heron,2853
Millers Barn Golf Park,2885
Mardyke Valley Golf Club,2891
Blakes Golf Club,2897
Gatton Manor Hotel & Golf Club,2898
Woodford Golf Club,2907
Foxhills Club and Resort - Manor Course,2913
Mill Hill Golf Club,2928
Crondon Park - Championship Course,2979
Frinton Golf Club - The Havers Course,3010
Tyrrells Wood Golf Club,3029
The Grove,9515
Cuckfield Golf Centre,10188
Broome Park Golf Club,10474
Holtye Golf Club,10585
West Middlesex Golf Club,10634
Manston Golf Centre,10791
Great Yarmouth & Caister Golf Club,10819
Brentwood Golf Club,10825
Seaford Golf Club,10941
West Malling Golf Club - Spitfire,11001
West Malling Golf Club - Hurricane Course,11003
Cherry Lodge Golf Club,11291
Lydd Golf Club,11293
Cooden Beach Golf Club,11358
High Beech Golf Course- Red,11373
Barnham Broom Hotel - The Valley Course,11957
Barnham Broom Hotel - The Hill Course,11958
Hazlemere Golf Club,11975
Bush Hill Park Golf Club,11981
Weston Turville Golf Club,12077
Seckford Golf Club,12129
Nazeing Golf Club,12320
Silvermere Golf & Leisure,12386
Seaford Head Golf Academy,12412
Abridge Golf Club,12416
Bletchingley Golf Club,12491
Stanmore Golf Club,12756
Stonham Barns Golf Centre,13023
Bungay & Waveney Golf Club,13292
Guildford Golf Club,13313
Old Fold Manor Golf Club,13314
West Herts Golf Club,13338
David Lloyd Hampton Golf Course,13463
Canons Brook Golf Club,13492
Golf19 at The St Pierre Park Hotel & Golf Resort,13546
Thames Ditton & Esher Golf Club,13547
Lingfield Park Golf Club,13577
Hendon Golf Club,13579
Panshanger Golf Complex,13587
Coulsdon Manor Golf Club,13597
Sweetwoods Park Golf Club,13598
Forrester Park Golf Club,13601
Royston Golf Club,13610
Huntswood Golf Club,13614
Drift Golf Club,13624
The South Buckinghamshire Golf Course,13675
Chartridge Park Golf Club,13686
Pinner Hill Golf Club,13707
Hever Castle Golf Club- Princes Course,13709
Lewes Golf Club,13734
East Brighton Golf Club,13745
Kingswood Golf & Country Club,13766
Sutton Green Golf Club,13778
Epsom Golf Club,13779
Windmill Hill Golf Centre,13810
Croham Hurst Golf Club,13854
"Wensum Valley Hotel, Golf and Country Club - The Wensum Golf Course",13867
London Golf Club - International Course,13873
Brent Valley Golf Club,13883
The Cambridgeshire Golf Club,13910
Brickendon Grange Golf Club,13916
Harleyford Golf Club,13934
