facility_name,facility_id
Exclusiv Golf de Nancy Aingeray,16169
Penha Longa Resort - Atlantic Championship,17353
PGA National Czech Republic,17363
Evian Resort Golf Club - Lake Course,18479
Evian Resort Golf Club - Champions Course,18480
Golf de Barbaroux,18482
Golf de la Vanade,18489
Golf de Saint Endreol,18491
Riviera Golf de Barbossi,18493
Golf du Domaine de Manville - Baux de Provence,18506
Domaine du Golf de Saint-Clair,18507
Jiva Hill Golf Club,18531
Bourgenay Golf Club,18535
Golf de Nantes Ile d'Or,18554
Golf d'Ecancourt,18579
Golf d'Ozoir La Ferrière,18583
Golf de Bussy Guermantes Marne la Vallée - La Gondoire,18584
Golf de Bussy Guermantes Marne la Vallée - La Jonchere,18585
Golf de l'Ile Fleurie,18588
Golf de l'Isle Adam,18589
Golf de Saint Marc,18603
Golf Hôtel de Mont Griffon - La Foret,18611
Golf Hôtel de Mont Griffon - Les Lacs,18612
Golf Stade Francais Haras Lupin,18614
Le Golf National - Aigle,18615
Golf de Brest Iroise,18663
Golf de Brest les Abers,18664
Golf de Brest Pen-Ar-Bed,18665
Golf de Saint Samson,18672
Golf de Tréméreuc,18674
Golf du Château du Bois Guy,18675
Golf Le Bois des Rochers-Vitré,18676
Golf de Dijon-Bourgogne,18711
Golf du Domaine de Roncemay,18713
Golf d'Augerville,18724
Golf de Spérone,18728
Golf du Kempferhof,18741
Golf International Soufflenheim 18 trous,18743
Alsace Golf Links,18744
Golf Club de Combles en Barrois,18748
Golf de Reims,18750
Golf de la Wantzenau,18751
Golf Club des Bouleaux,18753
Golf de Preisch - France,18754
Golf International Soufflenheim 9 Trous,18755
Golf de la Grange Aux Ormes - Bois Brule,18757
Golf de la Grange Aux Ormes - Breuil,18758
Club du Lys Chantilly - Les Chênes,18769
Golf d'Olhain,18771
Club du Lys Chantilly - Les Bouleaux,18783
Finca Cortesin,18786
Golf de Teynac,18805
Golf de Chiberta,18808
Golf de Margaux,18819
Golf de Lamalou-Les-Bains,18830
Golf de Garonne,18841
Golf Omaha Beach - Mer,18856
Golf PGA FRANCE du Vaudreuil,18860
Golf Public de Cabourg,18861
Golf Centre Manche,18863
Golf de la Côte des Isles,18864
Golf de Cabourg le Home,18866
Golf de Clécy,18867
Golf d'Etretat,18874
Golf Omaha Beach - Manoir,18875
Golf Utah Beach,18879
Golf de Dieppe-Pourville,18880
Golf de Jumièges - Chenes,18882
Golf de Léry Poses,18883
Golf Normandie Côte d'Albâtre - Les Vallons,18890
Golf Roches Azur,18899
Golf du Haras de Jardy,18901
Golf du Domaine de Divonne,18904
Golf Ouest Provence Miramas,18909
Golf de la Cabre d'Or,18910
Golf de Preisch - Germany,18912
Golf Club Vuissens,18916
Golf de Bourbon,19029
Golf des Lacs,19072
Crécy Golf - Montpichet,19181
Crécy Golf - Vignoly,19182
Golf Club Castellet,19211
Golfclub Am Kloster Kamp e.V./ Goba,19259
