facility_name,facility_id
St. Margaret's Golf & Country Club,271
Luttrellstown Castle Golf & Country Club,272
Seapoint Golf Links,275
Corrstown Golf Club,277
Powerscourt Golf Club - East Course,329
Powerscourt Golf Club - West Course,330
Donabate Golf Club,332
Tulfarris Hotel & Golf Resort,333
West Waterford Golf Club,367
Gold Coast Golf Club,368
Dungarvan Golf Club,369
Mount Wolseley Hotel Spa & Golf Resort,380
Ring of Kerry Golf Club,402
Trump International Golf Links (Doonbeg),417
Westport Golf Club,440
Faithlegg Golf Club,491
Rathsallagh Country Club,493
Thurles Golf Club,681
Carne Golf Links,980
Claremorris Golf Club,982
Athenry Golf Club,985
Castlebar Golf Club,986
Tuam Golf Club,987
Ballinasloe Golf Club,990
Headfort Golf Club - Championship Course,1087
Headfort Golf Club - Old Course,1088
Old Conna Golf Club,1129
Ardglass Golf Club,1185
Castlerock Golf Club - Mussenden Links,1187
Galgorm Castle Golf Club,1188
Gracehill Golf Club,1189
Balmoral Golf Club,1191
Cairndhu Golf Club,1192
"St. Patrick's Golf Club, Downpatrick",1193
Dunmurry Golf Club,1197
Edenmore Golf Club,1248
Spa Golf Club,1250
Lee Valley Golf & Country Club,1337
Blainroe Golf Club,1452
"Knightsbrook Hotel, Spa & Golf Resort",1545
Maine Valley Golf Club,1733
Arklow Golf Links,1785
Bray Golf Club,1813
Kilrush Golf Club,1827
New Forest Golf Club,1951
Stratford Park Hotel & Golf Club,2065
Oundle Golf Club,2242
Wychwood Park Golf Club,2252
Northwick Park,2253
De Vere Wokefield Estate Golf Club,2260
The Essex Golf & Country Club - County Course,2261
The Tytherington Club,2263
The Club at Mapledurham,2264
Chartham Park,2266
Benton Hall Golf & Country Club - Championship Course,2268
The Belfry Hotel and Resort - Derby Course,2271
Springwater Golf Club,2272
Nizels Golf & Country Club,2275
Hellidon Lakes Golf & Spa Hotel - Hellidon Course,2276
The Club at Meyrick Park,2277
Telford Hotel & Golf Resort,2278
The Warwickshire Golf & Country Club - Earls Course,2280
Monmouth Golf Club,2320
St. Anne's Golf Club,2334
Tredegar and Rhymney Golf Club,2400
Donnington Grove Country Club,2441
Brett Vale Golf Club,2450
Llanymynech Golf Club,2463
Wharton Park Golf Club,2464
Aldwark Manor Estate Golf,2466
The Westerwood Hotel & Golf Resort,2488
Worldham Golf Club,2521
Waterlooville Golf Club,2527
High Post Golf Club,2531
Gleddoch Golf Club,2546
Messingham Lakes,2552
Ben Rhydding Golf Club,2555
North Shore Golf Club,2613
Southwell Golf Club,2616
Norwood Park Golf Course,2620
Malton & Norton Golf Club - Welham Course,2646
Liberton Golf Club,2654
Leeds Golf Club,2658
Brinkworth Golf Club,2660
Belton Woods Golf Club - Lakes Course,2755
Forest Hills Golf Club,2758
Binny & Oatridge Golf Course,2776
Tapton 18 - Markham,2779
The Caversham,2784
Oakmere Park Golf Club - Admirals Course,2787
Temple Golf Club,2798
Deer Park Golf & Country Club,2799
Lochgelly Golf Club,2808
Stratford Oaks Golf Club,2810
The Mount Golf and Country Club,2820
Craddockstown Golf Club,2827
West Bradford Golf Club,2838
Forest Pines Hotel & Golf Resort - Forest Course,2839
Drumoig Golf Course,2840
Hennerton Golf Club,2841
