facility_name,facility_id
St. Margaret's Golf & Country Club,271
Luttrellstown Castle Golf & Country Club,272
Seapoint Golf Links,275
Corrstown Golf Club,277
Powerscourt Golf Club - East Course,329
Powerscourt Golf Club - West Course,330
Donabate Golf Club,332
Tulfarris Hotel & Golf Resort,333
West Waterford Golf Club,367
Gold Coast Golf Club,368
Dungarvan Golf Club,369
Mount Wolseley Hotel Spa & Golf Resort,380
Ring of Kerry Golf Club,402
Trump International Golf Links (Doonbeg),417
Westport Golf Club,440
Faithlegg Golf Club,491
Rathsallagh Country Club,493
Thurles Golf Club,681
Carne Golf Links,980
Claremorris Golf Club,982
Athenry Golf Club,985
Castlebar Golf Club,986
Tuam Golf Club,987
Ballinasloe Golf Club,990
Headfort Golf Club - Championship Course,1087
Headfort Golf Club - Old Course,1088
Old Conna Golf Club,1129
Ardglass Golf Club,1185
Castlerock Golf Club - Mussenden Links,1187
Galgorm Castle Golf Club,1188
Gracehill Golf Club,1189
Balmoral Golf Club,1191
Cairndhu Golf Club,1192
"St. Patrick's Golf Club, Downpatrick",1193
Dunmurry Golf Club,1197
Edenmore Golf Club,1248
Spa Golf Club,1250
Lee Valley Golf & Country Club,1337
Blainroe Golf Club,1452
"Knightsbrook Hotel, Spa & Golf Resort",1545
Maine Valley Golf Club,1733
Arklow Golf Links,1785
Bray Golf Club,1813
Kilrush Golf Club,1827
New Forest Golf Club,1951
Stratford Park Hotel & Golf Club,2065
Oundle Golf Club,2242
Wychwood Park Golf Club,2252
Northwick Park,2253
De Vere Wokefield Estate Golf Club,2260
