facility_name,facility_id
Gleddoch Golf Club,2546
Binny & Oatridge Golf Course,2776
Deer Park Golf & Country Club,2799
Cameron House Golf - The Carrick On Loch Lomond,7031
The Musselburgh Golf Club,7032
Craigielaw Golf Club,7033
Machrihanish Dunes Golf Club,7041
Gailes Links Golf Course,7043
Longniddry Golf Course,7072
Castle Park Golf Club,7329
Gifford Golf Club,7330
Gullane - No.2 Course,7337
Gullane - No.3 Course,7338
The Royal Musselburgh Golf Club,7347
Mar Hall Golf & Spa Resort,8451
Eyemouth Golf Club,8491
The Roxburghe Hotel & Golf Course,8644
Dunblane New Golf Club,9582
Torwoodlee Golf Club,10129
Crow Wood Golf Club,10294
Windermere Golf Club,10330
Ulverston Golf Club,10434
Dumfries & Galloway Golf Club,10490
Callander Golf Club,10498
Helensburgh Golf Club,10532
Windyhill Golf Club,10566
Kirkintilloch Golf Club,10604
Rowallan Castle Golf Club,10611
Bathgate Golf Club,10692
Keswick Golf Club,10710
Elderslie Golf Club,10724
Stranraer Golf Club,10771
Kirkby Lonsdale Golf Club,10772
Clydebank & District Golf Club,10860
Drumpellier Golf Club,10866
Balmore Golf Club,10884
Lamlash Golf Club,10974
East Kilbride Golf Club,11022
Cardross Golf Club,11037
Sedbergh Golf Club,11041
Wishaw Golf Club,11121
Peebles Golf Club,11194
Royal Troon Golf Club - The Old Course,11201
Shiskine Golf Club,11280
Shotts Golf Club,11281
Dumfries and County Golf Club,11339
Falkirk Golf Club,11391
Uphall Golf Club,11493
Fereneze Golf Club,11496
East Renfrewshire Golf Club,11600
Linlithgow Golf Club,11691
Duns Golf Club,11722
Dumbarton Golf Club,11728
Penrith Golf Club,11733
Brodick Golf Club,12105
Clober Golf Club,12188
Carus Green Golf Club,12312
Minto Golf Club,12356
Grange-Over-Sands Golf Club,12537
Appleby Golf Club,12762
Pumpherston Golf Club,12823
Kilsyth Lennox Golf Club,12883
Niddry Castle Golf Club,12889
Innerleithen Golf Club,12891
Milngavie Golf Club,12911
Lanark Golf Club,13223
Thornhill Golf Club,13282
Hayston Golf Club,13312
Portpatrick  Golf Club - Dunskey Golf Course,13477
Portpatrick Golf Club - Dinvin Golf Course,13478
Dougalston Golf Club,13520
Ardeer Golf Club,13578
Kendal Golf Club,13591
Braes Golf Club,13627
Mearns Castle Golf Academy,13669
Galashiels Golf Club,13705
Airdrie Golf Club,13738
Cathcart Castle Golf Club,13773
Glenbervie Golf Club,13787
Falkirk Tryst Golf Club,13815
Irvine Golf Club,13829
Cowglen Golf Club,13911
Carluke Golf Club,13927
Bridge of Allan Golf Club,13989
Lochwinnoch Golf Club,14003
Caldwell Golf Club,14086
Dundonald Links,14088
Haddington Golf Club,14093
Woll Golf Course,14101
Barrow Golf Club,14177
Hilton Park Golf Club – Allander Course,14183
Hilton Park Golf Club - Hilton Course,14184
Cameron House - The Wee Demon Golf Course,14188
The West Kilbride Golf Club,14271
Cockermouth Golf Club,14465
Cally Palace Hotel & Golf Course,14484
Eden Golf Club - Championship Course,14571
Kirkhill Golf Club,14577
Eden Golf Club Hadrian's Course,14582
Dunnerholme Golf Club,14587
Balfron Golf Society - Shian Course,14592
Lochmaben Golf Club,14596
Silloth on Solway Golf Club,14769
Casterton Golf Club - 9-hole Course,14839
Dalmuir Municipal Golf Course,14946
Bonnyton Golf Club,14955
Brampton Golf Club,14990
Powfoot Golf Club,15002
Stirling Golf Club,15041
Carnwath Golf Club,15151
Brighouse Bay Golf Club,15168
Prestwick St Nicholas Golf Club,15219
Jedburgh Golf Club,15341
Littlehill Golf Course,15484
Knightswood Golf Club,15512
Old Course Ranfurly Golf Club,15514
Grange Fell Golf Club,15587
Stony Holme Golf Club,15600
Seascale Golf Club,15604
Rouken Glen Golf Club,15610
Dalziel Park Country House and Golf Club,15980
Whiting Bay Golf Club,16032
Braehead Golf Club,16281
Hamilton Golf Club,17156
Lilliardsedge Holiday Park & Golf Course,17684
Lockerbie Golf Club,17741
Alston Moor,17787
Campsie Golf Club,18150
Haltwhistle Golf Club,18334
Melrose Golf Club,18934
