facility_name,facility_id
Monmouth Golf Club,2320
Tredegar and Rhymney Golf Club,2400
Donnington Grove Country Club,2441
Llanymynech Golf Club,2463
Worldham Golf Club,2521
Waterlooville Golf Club,2527
High Post Golf Club,2531
Brinkworth Golf Club,2660
Forest Hills Golf Club,2758
The Caversham,2784
Temple Golf Club,2798
Hennerton Golf Club,2841
Sturminster Marshall Golf Club,2845
Orchardleigh Golf Club,2847
Brean Golf Club.,2922
Isle of Wedmore Golf Club,2989
Paultons Golf Centre,3081
The Springs Golf Club,10105
Ashburnham Golf Club,10194
Wareham Golf Club,10200
Trethorne Golf Club,10209
Chippenham Golf Club,10292
Wenvoe Castle Golf Club,10347
Wheatlands Golf Club,10407
Garnant Golf Club,10555
Okehampton Golf Club,10651
Mond Valley Golf Club,10664
North Wales Golf Club,10679
Cotswolds Club Chipping Norton,10691
South Cerney Golf Club,10727
Caernarfon Golf Club,10774
Bridport and West Dorset Golf Club,10807
Glynneath Golf Club,10830
Hadden Hill Golf Club,10858
Came Down Golf Club,10914
Stoneham Golf Club,10938
Milford Haven Golf Club,10969
Abergele Golf Club,10986
Neath Golf Club,10987
Gower Golf Club,11006
Carmarthen Golf Club,11030
Cradoc Golf Club,11164
Pennard Golf Club,11334
Test Valley Golf Club,11456
Launceston Golf Club,11482
Newbury & Crookham Golf Club,11692
The Hampshire Golf Club,11746
Tenby Golf Club,11961
Clyne Golf Club,12076
Forest of Dean Golf Club,12125
Painswick Golf Club,12317
New Forest Golf Club,12321
Bryn Meadows Golf Club,12336
Cardiff Golf Club,12411
Axe Cliff Golf Club,12414
Pwllheli Golf Club,12660
Lyme Regis Golf Club,12758
Haverfordwest Golf Club,12874
Weymouth Golf Club,12924
Carlyon Bay Golf Course,12941
Alton Golf Club,12942
Peterstone Lakes Golf Club,13067
Builth Wells Golf Club,13132
Aberystwyth Golf Club,13134
Bude & North Cornwall Golf Club,13393
Lakeside Golf Course,13459
Llandrindod Wells Golf Course,13489
Rye Hill Golf Club,13512
Cottrell Resort - The Mackintosh Course,13527
Cottrell Resort - Button Gwinnett Course,13528
Wheathill Golf Club,13533
Ridgeway Golf Club,13567
Queens Park Golf Course - Dorset,13604
Badgemore Park Golf Club,13660
Warren Golf Club,13666
Wincanton Golf club,13678
Ashley Wood Golf Club,13700
Staddon Heights Golf Club,13733
Cirencester Golf Club,13739
Isle Of Purbeck Golf Club,13748
Oxford Golf Club,13780
Morriston Golf Club,13793
Mill Ride Golf Club,13795
Gloucester Golf Club,13813
Honiton Golf Club,13901
Llantrisant & Pontyclun Golf Club,13914
Datchet Golf Club,13915
Rodway Hill Golf Club,13940
"The Wiltshire Hotel, Golf & Country Club - Lakes Course",13943
"The Wiltshire, Hotel Golf & Country Club – Garden Course",13944
Morlais Castle Golf Club,13955
Studley Wood Golf Club,13969
Nefyn Golf Club,13977
The West Berkshire Golf Club,13999
Machynys Peninsula Golf Country Club,14001
Heythrop Park Resort Golf Club,14010
East Horton Golf Club - Greenwood Course,14046
East Horton Golf Club - Parkland Course,14047
Maesteg Golf Club,14056
Fingle Glen Golf Hotel,14059
Monmouthshire Golf Club,14076
Mullion Golf Club,14104
Bowood Park Hotel & Golf Club,14107
Southwick Park Golf Club,14116
Bargoed Golf Club,14136
Bangor St Deiniol Golf Club,14174
Drayton Park Golf Club – Abingdon Course,14286
Hadden Hill Golf Club - Par 3 Course,14302
Boundary Lakes Golf Course,14312
Bird Hills Golf Centre,14322
Tall Pines Golf Club,14342
Whitsand Bay Golf Club,14380
Perranporth Golf Club,14392
Meon Valley Hotel & Country Club - Meon Course,14408
Sunningdale Heath Golf Club,14410
Woodlake Park Golf & Country Club,14428
Dainton Park Golf Club,14443
The Vale Resort - Wales National Course,14450
Skylark Golf & Country Club,14456
Burley Golf Club,14536
Southampton Golf Course,14564
Henllys Golf Club,14580
The Vale Resort - Lake Course,14598
Cherwell Edge Golf Club,14602
Chipping Sodbury Golf Club,14606
Porthmadog Golf Club,14621
Blackwood Golf Club,14623
The Hampshire - Academy,14630
Fairwood Park Golf Club,14645
"Elfordleigh Hotel, Golf & Country Club",14649
Filton Golf Club,14652
Henbury Golf Club,14659
Tiverton Golf Club,14661
Glyn Abbey Golf Club - The Abbey Course,14662
Whitley Golf Club,14666
Maesdu Golf Club,14668
Bovey Castle Golf Club,14670
The Point at Polzeath Golf Club,14671
Conwy Golf Club,14674
Royal St. David's Golf Club,14675
The Mendip Golf Club,14678
Ferndown Forest Golf Club,14693
Abersoch Golf Club,14697
Theale Golf Club,14716
Bowood PGA Golf Course,14720
Bristol & Clifton Golf Club,14722
Sand Martins Golf Club,14726
Burnham & Berrow Golf Club - Channel Course,14740
Caerphilly Golf Club,14749
Feldon Valley Golf Club,14752
"The Dartmouth Hotel, Golf & Spa - Dartmouth Course",14772
Rhos-on-Sea Golf Club,14796
Shanklin & Sandown Golf Club,14815
Brokenhurst Manor Golf Club,14817
Donnington Valley Golf Club,14820
Rhosgoch Golf & Leisure Club,14855
Newent Golf Club & Lodges,14876
Petersfield Golf Club - Championship Course,14885
Erlestoke Golf Club,14904
Royal Ascot Golf Club,14905
Celtic Manor Resort - Roman Road Course,14911
The Bristol,14925
Southerndown Golf Club,14949
Ogbourne Downs Golf Club,14992
Burnham & Berrow Golf Club - Championship Course,15011
Vale Of Llangollen Golf Club,15016
"The Dartmouth Hotel, Golf & Spa - Championship Course",15019
Coed-y-Mwstwr Golf Club,15031
Cape Cornwall Club,15049
Dorset Golf & Country Club,15064
Romsey Golf Club,15083
Sidmouth Golf Club,15100
Tavistock Golf Club,15113
Exminster Golf Centre,15139
Meon Valley Hotel & Country Club - Valley Course,15148
Celtic Manor Resort - The Montgomerie Course,15149
Celtic Manor Resort - Twenty Ten Course,15150
Holsworthy Golf Club,15161
Ilfracombe Golf Club,15162
Downes Crediton Golf Club,15232
Henley Golf Club,15428
Llanwern Golf Club,15449
St Clements (Jersey),15475
Betws-y-Coed Golf Club,15476
Naunton Downs Golf Club,15515
Clevedon Golf Club,15653
Bramshaw Golf Club - Manor Course,15821
Cleeve Hill Golf Club,15878
Parley Golf Centre,16027
St Mellons Golf Club,16198
Bramshaw Golf Club - Forest Course,16265
St Athan Golf Club,16302
Grove Golf Club,16388
Cardigan Golf Club,16494
Truro Golf Course,16556
Pontardawe Golf Club,16597
Lansdown Golf Club,16699
Pontypridd Golf Club,17309
Welshpool Golf Club,17385
Tickenham Golf Centre,17602
Mawgan Porth Golf Club,17663
Milton Abbey Golf Course,17725
Portmore Golf Park (Barum Course),17861
Gillyflower Golf Club,17939
Worlebury Golf Club,17948
Calcot Park Golf Club,18041
Derllys Court Golf Club,18075
St Austell Golf Club,18080
