facility_name,facility_id
Trump International Golf Links (Doonbeg),417
Telford Hotel & Golf Resort,2278
The Westerwood Hotel & Golf Resort,2488
Liberton Golf Club,2654
Belton Woods Golf Club - Lakes Course,2755
Lochgelly Golf Club,2808
Forest Pines Hotel & Golf Resort - Forest Course,2839
Drumoig Golf Course,2840
Nairn Dunbar Golf Club,7048
Fairmont St Andrews - Torrance Course,7073
Fairmont St Andrews - Kittocks Course,7074
Falkland Golf Club,7243
Fortrose & Rosemarkie Golf Club,7380
The Gleneagles Hotel - PGA Centenary,8240
The Gleneagles Hotel - King's,8241
The Gleneagles Hotel - Queen's,8242
Prestonfield Golf Club,8270
Elmwood Golf Course,8336
Inverness Golf Club,8459
Cowdenbeath Golf Club,8466
Dunnikier Park Golf Club,8467
Glenrothes Golf Club,8468
Kinghorn Golf Club,8469
Lochore Meadows Golf Course,8470
Scoonie Golf Course,8471
Duddingston Golf Club,8502
Newburgh-on-Ythan Golf Club,8864
Whickham Golf Club,10089
Kings Golf Club,10102
Kintore Golf Club,10241
Ponteland Golf Club,10253
Beamish Park Golf Club,10349
Alnmouth Golf Club,10436
Auchterarder Golf Club,10463
West Linton Golf Club,10475
Westerhope Golf Club,10509
Peterculter Golf Club,10510
Gosforth Golf Club,10614
Stocksfield Golf Club,10616
Baberton Golf Club,10686
Blyth Golf Club,10746
Burntisland Golf Club,10770
Aboyne Golf Club,10776
Tynemouth Golf Club,10781
Balbirnie Park Golf Club,10784
Banchory Golf Club,10820
Chester Le Street Golf Club,10826
Grantown-on-Spey Golf Club,10831
Brancepeth Castle Golf Club,10862
Forres Golf Club,10865
McDonald Golf Club,10869
Crieff - Ferntower Golf Club,10878
Canmore Golf Club,10879
Crieff Dornock Golf 9 Hole,10892
Thornton Golf Club,10931
Turriff Golf Club,10932
Forfar Golf Club,10937
Seahouses Golf Club,10939
Dunkeld and Birnam Golf Club,10944
Oldmeldrum Golf Club,10946
Brora Golf Club,10947
Portlethen Golf Club,10948
Inverurie Golf Club,10962
Brechin Golf Club,11023
Wearside Golf Club,11042
Alyth Golf Club - Alyth Course,11052
Elgin Golf Club,11079
Hexham Golf Club,11090
Moray Golf Club - Old Course,11091
Moray Golf Club - New,11092
Kingussie Golf Club,11118
Muir of Ord Golf Club,11122
Ravensworth Golf Club,11125
Arcot Hall Golf Club,11263
Longhirst Hall Golf - Dawson Course,11309
Burgham Park Golf Club,11376
Longhirst Hall Golf Club - Lakes Course,11415
Strathmore Golf Centre,11491
Whitley Bay Golf Club,11502
Kirriemuir Golf Club,11531
Newtonmore Golf Club,11561
Morpeth Golf Club,11572
Bedlingtonshire Golf Club,11582
Ballumbie Castle Golf Club,11598
Edzell Golf Club,11599
Buckpool Golf Sports & Social Club,11601
Ladybank Golf Club,11605
Bellingham Golf Club,11980
Westhill Golf Club,11983
Insch Golf Club,12106
Ballater Golf Club,12107
Muckhart Golf Club,12185
Milnathort Golf Club,12395
Dinsdale Golf Club,12410
George Washington Golf Club,12663
Monifieth Golf Links - Medal,12676
Monifieth Golf Links - Ashludie,12677
Murrayshall House Hotel and Golf Courses - Murrayshall,12678
Murrayshall House Hotel and Golf Courses - Lynedoch,12679
Golspie Golf Club,12694
Alford Golf Club,12751
Eaglescliffe Golf Club,12764
Peterhead Golf Club - Old Course,12804
Peterhead Golf Club - New Course,12805
Kemnay Golf Club,12814
North Inch Golf Club,12843
Pitreavie Golf Club,12888
Blair Atholl Golf Club,12892
Dalmahoy Golf Club (West Course),12908
Dalmahoy Golf Club (East Course),12909
Prudhoe Golf Club,12915
Troon Lochgreen Golf Course,12928
Troon Fullarton Golf Course,12929
Troon Darley Golf Course,12930
Belleisle Golf Course,12932
Dalmilling Golf Course,12933
Girvan Golf Course,12935
Maybole Golf Club,12936
Seafield Golf Course,12937
St. Michaels Golf Club,12949
Newbattle Golf Club,12962
Linden Hall Country Club,13015
"Macdonald Hill Valley Hotel, Golf & Spa - Emerald Course",13016
"Macdonald Hill Valley Hotel, Golf & Spa - Sapphire Course",13018
Swanston Golf Club,13021
Newbiggin Golf Club,13025
Kingarrock Hickory Golf Course,13056
Ramside Hall Hotel - Prince Bishops Course,13072
Ramside Hall Hotel - Cathedral Course,13073
Whitburn Golf Club,13115
"Macdonald Portal Hotel, Golf & Spa - Premier Course",13143
Barnard Castle Golf Club,13156
Macdonald Cardrona Hotel,13188
"Macdonald Portal Hotel, Golf & Spa - Championship Course",13189
Spey Valley Golf Course at Macdonald Hotels,13190
Hobson Golf Club,13220
Swanston Templar Golf Course,13252
"Macdonald Portal Hotel, Golf & Spa – Arderne Course",13281
Tyneside Golf Club,13311
Aberdour Golf Club,13343
Craigmillar Park Golf Club,13395
South Moor Golf Club,13430
Blackwell Grange Golf Club,13462
Inchmarlo Golf Club,13476
Seaham Golf Club,13488
Stonehaven Golf Club,13519
Ratho Park Golf Club Ltd,13566
Rothbury Golf Club,13625
Newcastle United Golf Club,13670
Garesfield Golf Club,13672
Dundas Parks Golf Club,13673
Ryton Golf Club,13746
Kingsknowe Golf Club,13771
Leven Links Golf Course,13782
The Golf House Club - Elie Links,13783
Turnhouse Golf Club,13803
Dunfermline Golf Club,13806
Dufftown Golf Club,13814
Surrey National Golf Club,13844
Godstone Golf Club,13845
Westerham Golf Club,13846
Woldingham Golf Club,13850
The Addington Golf Club,13851
Hopeman Golf Club,13857
Tulliallan Golf Club,13874
Durham City Golf Club,13881
Auchmill Golf Club,14103
Boldon Golf Club,14124
Piperdam Golf & Leisure Resort - The New Course,14129
Edzell Golf Club - 9 Hole West Water Course,14135
Elie Sports Club – Baird Course,14166
Trump Turnberry Resort - Ailsa Course,14212
Staverton Park Hotel and Golf Course,14299
Dunston Hall Golf Club,14365
Slaley Hall Hotel & Golf - Priestman Course,14372
Tynedale Golf Club,14375
Oulton Hall Country Club,14379
Allendale Golf Club,14386
Bishop Auckland Golf Club,14449
Trump Turnberry Resort - King Robert the Bruce Course,14467
Matfen Hall Golf Club - Douglas/ Standing Stone,14470
Alyth Golf Club - Glenisla Course,14482
Heworth Golf Club,14573
City of Newcastle Golf Club,14608
Torphins Golf Club,14624
Balnagask Golf Course,14683
Warkworth Golf Club,14712
Roseberry Grange,14762
Kinross Golf Course - Montgomery Course,14765
Murcar Links Golf Club - Murcar Course,14781
Dunstanburgh Castle Golf Course,14793
Cupar Golf Club,14799
Kings Links Golf Course,14804
Goswick Links Golf Club,14850
"Trump International, Scotland - Old Course",14851
Formby Hall Golf Resort & Spa - Old Course,14853
Hazlehead Golf Course - Mackenzie,14866
King James VI Golf Club,14867
Slaley Hall Hotel & Golf - Hunting Course,14923
Panmure Golf Club,14977
Pitlochry Golf,15005
Trump Turnberry Resort - Arran Course,15029
Hall Garth Hotel & Country Club,15034
Murcar Links Golf Club - Strabathie Course,15050
Hazlehead - 9 Hole Course,15054
Hazlehead Golf Course - Pines,15056
Belton Woods Golf Club - Woodside Course,15061
Kinross Golf Course - Bruce Course,15065
Houghton-le-Spring Golf Club,15112
Matfen Hall Golf Club - Standing Stone/ Dewlaw,15165
Matfen Hall Golf Club - Dewlaw/ Douglas,15166
Formby Hall Golf Resort & Spa - Woodhey Dunes,15177
Forest Pines Hotel & Golf Resort - Pines Course,15191
Tarland Golf Club,15255
The Darlington Golf Club,15463
Merchants Of Edinburgh Golf Club,15486
Crook Golf Club,15532
Northumberland Golf Club,15690
Alnmouth Village Golf Club,15744
Wooler Golf Club,15816
Consett and District Golf Club,16092
Glencorse Golf Club,16108
South Shields Golf Club,16244
Auchterderran Golf Club,16254
Kings Acre Golf Course and Academy,16257
Dunfermline Golf Club - Halkett Course,16468
Westerham - Churchill 9 Hole Par 3,17439
Backworth Golf Club,17581
Matfen Hall Par 3,17662
Auchenblae Golf Course,18053
Leslie Golf Club,18108
Strathtay Golf Club,18347
"Trump International, Scotland - Old & New Course",19063
